apartment_name,region_name,legal_dong,jibun,road_name,deal_type,deal_year,deal_month,deal_day,deal_amount,area,floor,longitude,latitude,coordinate_source,coordinates_wkt
용종마을중앙,계양구,,,,매매,,,,,,,126.7402096,37.54208276,apt_master_info,POINT(126.7402096 37.54208276)
거제동월드메르디앙,연제구,,,,매매,,,,,,,129.0820393,35.19388303,apt_master_info,POINT(129.0820393 35.19388303)
송도아메리칸타운아이파크,연수구,,,,매매,,,,,,,126.6622669,37.3850245,apt_master_info,POINT(126.6622669 37.3850245)
무등산아이파크,동구,,,,매매,,,,,,,126.930072,37.57591318,apt_master_info,POINT(126.930072 37.57591318)
경남4차,서구,,,,매매,,,,,,,127.369466,36.32341385,apt_master_info,POINT(127.369466 36.32341385)
현대한누리,수영구,,,,매매,,,,,,,129.0981725,35.16995155,apt_master_info,POINT(129.0981725 35.16995155)
대전노은4지구한화꿈에그린1블록,유성구,,,,매매,,,,,,,127.0106815,37.57932188,apt_master_info,POINT(127.0106815 37.57932188)
월성삼정그린코아에듀파크,달서구,,,,전세,,,,,,,127.0106815,37.57932188,apt_master_info,POINT(127.0106815 37.57932188)
미리샘마을,달서구,,,,전세,,,,,,,128.5411041,35.80576909,apt_master_info,POINT(128.5411041 35.80576909)
오성우방,수성구,,,,매매,,,,,,,128.6092229,35.85872465,apt_master_info,POINT(128.6092229 35.85872465)
대현뜨란채,북구,,,,매매,,,,,,,128.6062126,35.87990328,apt_master_info,POINT(128.6062126 35.87990328)
우성,미추홀구,,,,매매,,,,,,,126.6412066,37.45005651,apt_master_info,POINT(126.6412066 37.45005651)
중리롯데캐슬,서구,,,,매매,,,,,,,128.5480264,35.86740804,apt_master_info,POINT(128.5480264 35.86740804)
반도유보라,달성군,,,,매매,,,,,,,128.4683148,35.69045488,apt_master_info,POINT(128.4683148 35.69045488)
월성주공4단지,달서구,,,,전세,,,,,,,128.5325291,35.8336653,apt_master_info,POINT(128.5325291 35.8336653)
금호타운,광산구,,,,매매,,,,,,,126.8103722,35.16475998,apt_master_info,POINT(126.8103722 35.16475998)
용산세광그린빌,달서구,,,,매매,,,,,,,128.5296546,35.85695697,apt_master_info,POINT(128.5296546 35.85695697)
영진로얄,대덕구,,,,매매,,,,,,,127.4267039,36.37487632,apt_master_info,POINT(127.4267039 36.37487632)
백영,부평구,,,,매매,,,,,,,126.6956278,37.47842034,apt_master_info,POINT(126.6956278 37.47842034)
연산엘지,연제구,,,,월세,,,,,,,129.103648,35.18397146,apt_master_info,POINT(129.103648 35.18397146)
하이랜드,유성구,,,,매매,,,,,,,127.3476626,36.35897939,apt_master_info,POINT(127.3476626 36.35897939)
이진젠시티개금,부산진구,,,,매매,,,,,,,126.9066653,37.55615468,apt_master_info,POINT(126.9066653 37.55615468)
삼산리버뷰웰가,남구,,,,매매,,,,,,,129.345158,35.54661173,apt_master_info,POINT(129.345158 35.54661173)
엘지메트로시티1,남구,,,,매매,,,,,,,129.1128054,35.12829218,apt_master_info,POINT(129.1128054 35.12829218)
남천파크,수영구,,,,매매,,,,,,,129.1076752,35.14041996,apt_master_info,POINT(129.1076752 35.14041996)
신동아파밀리에,유성구,,,,매매,,,,,,,127.3875383,36.42066494,apt_master_info,POINT(127.3875383 36.42066494)
해태(590-3),서구,,,,매매,,,,,,,126.8733851,35.15723042,apt_master_info,POINT(126.8733851 35.15723042)
유창맨션,해운대구,,,,매매,,,,,,,129.1268261,35.17938372,apt_master_info,POINT(129.1268261 35.17938372)
월드메르디앙월드시티,북구,,,,매매,,,,,,,129.3618427,35.64200182,apt_master_info,POINT(129.3618427 35.64200182)
비즈트위트그린,구로구,,,,매매,,,,,,,126.8904307,37.49535789,apt_master_info,POINT(126.8904307 37.49535789)
주공6,노원구,,,,매매,,,,,,,127.0784214,37.64860207,apt_master_info,POINT(127.0784214 37.64860207)
봉선2차남양휴튼,남구,,,,매매,,,,,,,126.9084356,35.12480226,apt_master_info,POINT(126.9084356 35.12480226)
무거현대,남구,,,,매매,,,,,,,129.2546335,35.54838673,apt_master_info,POINT(129.2546335 35.54838673)
스마트시티2단지,유성구,,,,매매,,,,,,,127.3920144,36.37800942,apt_master_info,POINT(127.3920144 36.37800942)
신천효성해링턴플레이스,북구,,,,매매,,,,,,,129.3509763,35.64058124,apt_master_info,POINT(129.3509763 35.64058124)
포레시안,남동구,,,,매매,,,,,,,127.4515075,36.63406697,apt_master_info,POINT(127.4515075 36.63406697)
청구타운,수성구,,,,매매,,,,,,,128.643253,35.81993205,apt_master_info,POINT(128.643253 35.81993205)
동래3차SKVIEW,동래구,,,,매매,,,,,,,127.1181845,37.50062079,apt_master_info,POINT(127.1181845 37.50062079)
진달래,서구,,,,매매,,,,,,,127.3668166,36.35908072,apt_master_info,POINT(127.3668166 36.35908072)
우방청자,달서구,,,,월세,,,,,,,128.539264,35.81199978,apt_master_info,POINT(128.539264 35.81199978)
답십리대우,동대문구,,,,월세,,,,,,,127.0533029,37.57344214,apt_master_info,POINT(127.0533029 37.57344214)
고덕롯데캐슬베네루체,강동구,,,,매매,,,,,,,127.0214563,37.57104431,apt_master_info,POINT(127.0214563 37.57104431)
수정강변타운,북구,,,,매매,,,,,,,129.0070805,35.22183973,apt_master_info,POINT(129.0070805 35.22183973)
동래래미안아이파크,동래구,,,,매매,,,,,,,129.0698816,35.2111274,apt_master_info,POINT(129.0698816 35.2111274)
태왕리더스,수성구,,,,매매,,,,,,,128.7220077,35.83870781,apt_master_info,POINT(128.7220077 35.83870781)
모아,북구,,,,매매,,,,,,,126.9048762,35.17031357,apt_master_info,POINT(126.9048762 35.17031357)
쌍용아진그린타운1,북구,,,,매매,,,,,,,129.3420218,35.6299339,apt_master_info,POINT(129.3420218 35.6299339)
힐스테이트연산,연제구,,,,매매,,,,,,,127.0523205,37.54089352,apt_master_info,POINT(127.0523205 37.54089352)
현대,연수구,,,,매매,,,,,,,126.6697205,37.42876851,apt_master_info,POINT(126.6697205 37.42876851)
두류파크KCC스위첸,달서구,,,,전세,,,,,,,128.5712949,35.85475789,apt_master_info,POINT(128.5712949 35.85475789)
운남주공7단지,광산구,,,,매매,,,,,,,126.8158255,35.17344372,apt_master_info,POINT(126.8158255 35.17344372)
화원한샘타운,달성군,,,,매매,,,,,,,128.4923387,35.80430403,apt_master_info,POINT(128.4923387 35.80430403)
신금호파크자이,성동구,,,,매매,,,,,,,127.0187832,37.5556349,apt_master_info,POINT(127.0187832 37.5556349)
진천월성위너파크,달서구,,,,매매,,,,,,,128.5275205,35.81715664,apt_master_info,POINT(128.5275205 35.81715664)
래미안파크팰리스,송파구,,,,매매,,,,,,,127.1320621,37.49815708,apt_master_info,POINT(127.1320621 37.49815708)
주은모아,서구,,,,전세,,,,,,,126.8798864,35.12386825,apt_master_info,POINT(126.8798864 35.12386825)
e편한세상신촌1단지,서대문구,,,,매매,,,,,,,127.0272608,37.64978687,apt_master_info,POINT(127.0272608 37.64978687)
마전예뜰채,서구,,,,매매,,,,,,,126.6756548,37.5143802,apt_master_info,POINT(126.6756548 37.5143802)
루원호반베르디움더센트럴,서구,,,,매매,,,,,,,126.6679761,37.52873672,apt_master_info,POINT(126.6679761 37.52873672)
상무양우내안애,서구,,,,매매,,,,,,,127.0495864,37.68328802,apt_master_info,POINT(127.0495864 37.68328802)
신동아,동구,,,,매매,,,,,,,127.43815,36.35879759,apt_master_info,POINT(127.43815 36.35879759)
LH허브시티,달성군,,,,매매,,,,,,,128.4356358,35.78305127,apt_master_info,POINT(128.4356358 35.78305127)
상계주공6(고층),노원구,,,,매매,,,,,,,127.0614598,37.65231088,apt_master_info,POINT(127.0614598 37.65231088)
경남1차,서구,,,,매매,,,,,,,127.3710145,36.32101022,apt_master_info,POINT(127.3710145 36.32101022)
여울목,울주군,,,,매매,,,,,,,129.2911276,35.40547091,apt_master_info,POINT(129.2911276 35.40547091)
삼일,금천구,,,,매매,,,,,,,126.90616,37.44122261,apt_master_info,POINT(126.90616 37.44122261)
선암동서광,남구,,,,매매,,,,,,,129.3130649,35.5127189,apt_master_info,POINT(129.3130649 35.5127189)
대구역센트럴자이,중구,,,,매매,,,,,,,128.5866045,35.87599729,apt_master_info,POINT(128.5866045 35.87599729)
화곡푸르지오,강서구,,,,매매,,,,,,,126.8314773,37.54461398,apt_master_info,POINT(126.8314773 37.54461398)
광안자이,수영구,,,,매매,,,,,,,129.1091616,35.15460397,apt_master_info,POINT(129.1091616 35.15460397)
래미안로이파크,동작구,,,,매매,,,,,,,126.930072,37.57591318,apt_master_info,POINT(126.930072 37.57591318)
세종,서구,,,,매매,,,,,,,126.8868443,35.15731976,apt_master_info,POINT(126.8868443 35.15731976)
길음동동부센트레빌(1278-0),성북구,,,,매매,,,,,,,127.0247678,37.61027421,apt_master_info,POINT(127.0247678 37.61027421)
목동대림,양천구,,,,매매,,,,,,,126.8741708,37.52339585,apt_master_info,POINT(126.8741708 37.52339585)
시영,중구,,,,매매,,,,,,,129.0268198,35.10771503,apt_master_info,POINT(129.0268198 35.10771503)
문정래미안,송파구,,,,매매,,,,,,,127.1303306,37.49070857,apt_master_info,POINT(127.1303306 37.49070857)
송강마을2,유성구,,,,매매,,,,,,,127.3850602,36.43670194,apt_master_info,POINT(127.3850602 36.43670194)
대원레스피아2차,서구,,,,매매,,,,,,,126.6611231,37.61213824,apt_master_info,POINT(126.6611231 37.61213824)
화성리버파크2,북구,,,,매매,,,,,,,128.5975285,35.92031994,apt_master_info,POINT(128.5975285 35.92031994)
레이카운티(4단지),연제구,,,,월세,,,,,,,129.0664662,35.18744217,apt_master_info,POINT(129.0664662 35.18744217)
보성서한타운,북구,,,,매매,,,,,,,128.5570246,35.93329564,apt_master_info,POINT(128.5570246 35.93329564)
대구월배2차아이파크,달서구,,,,전세,,,,,,,126.930072,37.57591318,apt_master_info,POINT(126.930072 37.57591318)
화원이진캐스빌,달성군,,,,매매,,,,,,,126.9324853,37.49753123,apt_master_info,POINT(126.9324853 37.49753123)
산호한양,북구,,,,매매,,,,,,,128.5555217,35.94144893,apt_master_info,POINT(128.5555217 35.94144893)
벽산1,해운대구,,,,매매,,,,,,,129.1798601,35.17025615,apt_master_info,POINT(129.1798601 35.17025615)
청화1,용산구,,,,매매,,,,,,,126.9948054,37.52988454,apt_master_info,POINT(126.9948054 37.52988454)
신길센트럴자이아파트,영등포구,,,,월세,,,,,,,126.9075317,37.50318175,apt_master_info,POINT(126.9075317 37.50318175)
한성2차,광산구,,,,매매,,,,,,,126.8119937,35.16399767,apt_master_info,POINT(126.8119937 35.16399767)
태영,서구,,,,매매,,,,,,,126.6754313,37.54750712,apt_master_info,POINT(126.6754313 37.54750712)
삼환,사하구,,,,매매,,,,,,,128.9810527,35.06239598,apt_master_info,POINT(128.9810527 35.06239598)
해모로,마포구,,,,매매,,,,,,,126.9296635,37.54627231,apt_master_info,POINT(126.9296635 37.54627231)
베이프런트,동구,,,,매매,,,,,,,129.4209508,35.48597794,apt_master_info,POINT(129.4209508 35.48597794)
금곡3단지주공,북구,,,,매매,,,,,,,129.0212781,35.26404551,apt_master_info,POINT(129.0212781 35.26404551)
번영로하늘채센트럴파크,남구,,,,매매,,,,,,,129.3325689,35.52607237,apt_master_info,POINT(129.3325689 35.52607237)
e편한세상화명힐스,북구,,,,매매,,,,,,,127.0272608,37.64978687,apt_master_info,POINT(127.0272608 37.64978687)
죽동대원칸타빌,유성구,,,,매매,,,,,,,127.0902608,37.57802931,apt_master_info,POINT(127.0902608 37.57802931)
강변동서마을,동구,,,,매매,,,,,,,128.6795395,35.87330933,apt_master_info,POINT(128.6795395 35.87330933)
방촌역세영리첼아파트,동구,,,,매매,,,,,,,128.6674869,35.87958923,apt_master_info,POINT(128.6674869 35.87958923)
신동아,동구,,,,매매,,,,,,,127.43815,36.35879759,apt_master_info,POINT(127.43815 36.35879759)
마루힐센트럴파크,북구,,,,매매,,,,,,,127.0822667,37.67183957,apt_master_info,POINT(127.0822667 37.67183957)
두산청구,북구,,,,매매,,,,,,,128.5432884,35.89870592,apt_master_info,POINT(128.5432884 35.89870592)
성서무지개타운,달서구,,,,전세,,,,,,,128.5119468,35.86016457,apt_master_info,POINT(128.5119468 35.86016457)
등촌제이스카이,강서구,,,,매매,,,,,,,126.8679132,37.54979866,apt_master_info,POINT(126.8679132 37.54979866)
무룡,남구,,,,매매,,,,,,,129.3344026,35.53093752,apt_master_info,POINT(129.3344026 35.53093752)
까치마을태화,계양구,,,,월세,,,,,,,126.8433094,37.50665863,apt_master_info,POINT(126.8433094 37.50665863)
에코폴리스동화아이위시2차,달성군,,,,매매,,,,,,,127.0532144,37.58966135,apt_master_info,POINT(127.0532144 37.58966135)
경남,연수구,,,,매매,,,,,,,126.6952224,37.42178937,apt_master_info,POINT(126.6952224 37.42178937)
청라29블럭호반베르디움,서구,,,,매매,,,,,,,126.6387546,37.52748042,apt_master_info,POINT(126.6387546 37.52748042)
대동레미안센트럴시티,부산진구,,,,전세,,,,,,,129.0626107,35.14549332,apt_master_info,POINT(129.0626107 35.14549332)
래미안목동아델리체(119동~123동),양천구,,,,매매,,,,,,,126.9621074,37.57139769,apt_master_info,POINT(126.9621074 37.57139769)
구일우성,구로구,,,,매매,,,,,,,126.8770015,37.49017713,apt_master_info,POINT(126.8770015 37.49017713)
삼환2단지,남동구,,,,매매,,,,,,,126.7339132,37.45034383,apt_master_info,POINT(126.7339132 37.45034383)
상림마을8단지롯데캐슬(821~830동)BL1-12,은평구,,,,매매,,,,,,,127.0214563,37.57104431,apt_master_info,POINT(127.0214563 37.57104431)
쌍용예가,남구,,,,매매,,,,,,,126.9435112,37.51000059,apt_master_info,POINT(126.9435112 37.51000059)
금곡8단지주공,북구,,,,매매,,,,,,,129.0152844,35.25781043,apt_master_info,POINT(129.0152844 35.25781043)
평화타운,달서구,,,,전세,,,,,,,128.5168977,35.85165796,apt_master_info,POINT(128.5168977 35.85165796)
대림타운,북구,,,,매매,,,,,,,129.0155578,35.23110789,apt_master_info,POINT(129.0155578 35.23110789)
청마,동래구,,,,매매,,,,,,,129.0811476,35.2101011,apt_master_info,POINT(129.0811476 35.2101011)
염창1차한화꿈에그린,강서구,,,,매매,,,,,,,126.873237,37.54825845,apt_master_info,POINT(126.873237 37.54825845)
삼성푸른아파트,유성구,,,,매매,,,,,,,127.3988894,36.39893078,apt_master_info,POINT(127.3988894 36.39893078)
꿈의숲롯데캐슬,강북구,,,,전세,,,,,,,127.036391,37.61740781,apt_master_info,POINT(127.036391 37.61740781)
여울목,울주군,,,,매매,,,,,,,129.2911276,35.40547091,apt_master_info,POINT(129.2911276 35.40547091)
용방마을,동구,,,,매매,,,,,,,127.4533665,36.32623222,apt_master_info,POINT(127.4533665 36.32623222)
아그네스풍림아이원,은평구,,,,매매,,,,,,,126.9189825,37.60294177,apt_master_info,POINT(126.9189825 37.60294177)
서초네이처힐6단지,서초구,,,,매매,,,,,,,127.0266592,37.46158638,apt_master_info,POINT(127.0266592 37.46158638)
대구혁신에듀포레,동구,,,,매매,,,,,,,127.4515075,36.63406697,apt_master_info,POINT(127.4515075 36.63406697)
현광1차,미추홀구,,,,매매,,,,,,,126.6543982,37.43788255,apt_master_info,POINT(126.6543982 37.43788255)
루원시티프라디움,서구,,,,매매,,,,,,,126.6661906,37.52666416,apt_master_info,POINT(126.6661906 37.52666416)
쌍용스윗닷홈스카이,부산진구,,,,매매,,,,,,,129.0509908,35.16319463,apt_master_info,POINT(129.0509908 35.16319463)
대전둔곡우미린,유성구,,,,매매,,,,,,,126.8785951,35.13975213,apt_master_info,POINT(126.8785951 35.13975213)
대우,금정구,,,,매매,,,,,,,129.0904092,35.23224579,apt_master_info,POINT(129.0904092 35.23224579)
동도센트리움(70-12),구로구,,,,매매,,,,,,,126.8466957,37.49829125,apt_master_info,POINT(126.8466957 37.49829125)
까치마을태화,계양구,,,,매매,,,,,,,126.8433094,37.50665863,apt_master_info,POINT(126.8433094 37.50665863)
중흥파크맨션3,북구,,,,매매,,,,,,,126.9185196,35.18342355,apt_master_info,POINT(126.9185196 35.18342355)
금호서한이다음,북구,,,,매매,,,,,,,128.5113003,35.89799337,apt_master_info,POINT(128.5113003 35.89799337)
죽곡삼정그린코아더베스트,달성군,,,,매매,,,,,,,127.0106815,37.57932188,apt_master_info,POINT(127.0106815 37.57932188)
신평삼한사랑채,사하구,,,,월세,,,,,,,126.9647857,37.5611066,apt_master_info,POINT(126.9647857 37.5611066)
구로두산,구로구,,,,매매,,,,,,,126.8892849,37.48917612,apt_master_info,POINT(126.8892849 37.48917612)
태평2,연수구,,,,매매,,,,,,,126.6703546,37.41706555,apt_master_info,POINT(126.6703546 37.41706555)
U-스타시티일동미라주더스타2단지,북구,,,,매매,,,,,,,126.9066653,37.55615468,apt_master_info,POINT(126.9066653 37.55615468)
양우내안애더퍼스트,울주군,,,,매매,,,,,,,127.0495864,37.68328802,apt_master_info,POINT(127.0495864 37.68328802)
옥포대성베르힐4단지,달성군,,,,매매,,,,,,,126.9625926,37.57271035,apt_master_info,POINT(126.9625926 37.57271035)
자양10차현대홈타운,광진구,,,,매매,,,,,,,127.0705864,37.53325087,apt_master_info,POINT(127.0705864 37.53325087)
문수데시앙1단지,울주군,,,,매매,,,,,,,129.2416215,35.5261441,apt_master_info,POINT(129.2416215 35.5261441)
울산덕하신일해피트리,울주군,,,,매매,,,,,,,127.0265895,37.63222032,apt_master_info,POINT(127.0265895 37.63222032)
화명리버빌2차,북구,,,,매매,,,,,,,129.012063,35.24612779,apt_master_info,POINT(129.012063 35.24612779)
힐스테이트대구역오페라,북구,,,,전세,,,,,,,128.5833862,35.87912509,apt_master_info,POINT(128.5833862 35.87912509)
한라자연,수성구,,,,매매,,,,,,,128.6301194,35.8209073,apt_master_info,POINT(128.6301194 35.8209073)
광신프로그레스,광산구,,,,매매,,,,,,,126.7946025,35.13697752,apt_master_info,POINT(126.7946025 35.13697752)
래미안블레스티지,강남구,,,,매매,,,,,,,127.0647382,37.48135783,apt_master_info,POINT(127.0647382 37.48135783)
현대,부산진구,,,,매매,,,,,,,129.0224701,35.16046247,apt_master_info,POINT(129.0224701 35.16046247)
운남주공10단지,광산구,,,,매매,,,,,,,126.8106376,35.1738575,apt_master_info,POINT(126.8106376 35.1738575)
사상샬레,사상구,,,,전세,,,,,,,128.9887879,35.1604986,apt_master_info,POINT(128.9887879 35.1604986)
우방청자,달서구,,,,전세,,,,,,,128.539264,35.81199978,apt_master_info,POINT(128.539264 35.81199978)
어울림하트,유성구,,,,매매,,,,,,,127.3427769,36.33354783,apt_master_info,POINT(127.3427769 36.33354783)
황실타운,서구,,,,매매,,,,,,,127.3713687,36.3615668,apt_master_info,POINT(127.3713687 36.3615668)
부영3차,북구,,,,매매,,,,,,,128.5646713,35.9369916,apt_master_info,POINT(128.5646713 35.9369916)
봉황맨션A,동래구,,,,매매,,,,,,,129.0505107,35.17136903,apt_master_info,POINT(129.0505107 35.17136903)
청라디이스트,서구,,,,매매,,,,,,,126.6234781,37.52748286,apt_master_info,POINT(126.6234781 37.52748286)
다복아파트,미추홀구,,,,매매,,,,,,,126.6490266,37.46525358,apt_master_info,POINT(126.6490266 37.46525358)
신동아,성동구,,,,매매,,,,,,,127.0295249,37.55035425,apt_master_info,POINT(127.0295249 37.55035425)
원영아트빌,달서구,,,,매매,,,,,,,128.5463118,35.81777558,apt_master_info,POINT(128.5463118 35.81777558)
현대(859-1),서구,,,,매매,,,,,,,126.8775959,35.13881455,apt_master_info,POINT(126.8775959 35.13881455)
하늘도시우미린1단지,중구,,,,매매,,,,,,,126.5563651,37.4928492,apt_master_info,POINT(126.5563651 37.4928492)
어반펠리체,북구,,,,매매,,,,,,,129.0025582,35.20858733,apt_master_info,POINT(129.0025582 35.20858733)
성서동서서한,달서구,,,,매매,,,,,,,128.5036503,35.85823552,apt_master_info,POINT(128.5036503 35.85823552)
한양(182),부평구,,,,매매,,,,,,,126.7012582,37.50337745,apt_master_info,POINT(126.7012582 37.50337745)
이지리움S,영등포구,,,,매매,,,,,,,126.9112264,37.52039308,apt_master_info,POINT(126.9112264 37.52039308)
우암중앙하이츠아파트,남구,,,,매매,,,,,,,129.0823798,35.12675428,apt_master_info,POINT(129.0823798 35.12675428)
반도유보라더퍼스트,남구,,,,매매,,,,,,,126.9820736,37.51722544,apt_master_info,POINT(126.9820736 37.51722544)
문수애시앙2단지,울주군,,,,매매,,,,,,,129.2315665,35.56080875,apt_master_info,POINT(129.2315665 35.56080875)
"부평1,2차금호타운",부평구,,,,매매,,,,,,,127.0503523,37.54189817,apt_master_info,POINT(127.0503523 37.54189817)
동남,연수구,,,,매매,,,,,,,126.667789,37.4012611,apt_master_info,POINT(126.667789 37.4012611)
나경위너스,금정구,,,,매매,,,,,,,129.0919038,35.27161983,apt_master_info,POINT(129.0919038 35.27161983)
SK허브올리브,동래구,,,,매매,,,,,,,129.0841091,35.21859499,apt_master_info,POINT(129.0841091 35.21859499)
삼한사랑채,금정구,,,,매매,,,,,,,129.0695307,35.1363416,apt_master_info,POINT(129.0695307 35.1363416)
아침마을비동,남구,,,,매매,,,,,,,129.0967987,35.13134978,apt_master_info,POINT(129.0967987 35.13134978)
한양수자인,광산구,,,,매매,,,,,,,126.8230267,35.18651093,apt_master_info,POINT(126.8230267 35.18651093)
센트라스,성동구,,,,매매,,,,,,,127.0271794,37.56594336,apt_master_info,POINT(127.0271794 37.56594336)
경남한신,금정구,,,,매매,,,,,,,129.0901229,35.23639172,apt_master_info,POINT(129.0901229 35.23639172)
성당래미안e-편한세상2단지,달서구,,,,매매,,,,,,,127.0291351,37.50673779,apt_master_info,POINT(127.0291351 37.50673779)
포스코더샵,남구,,,,매매,,,,,,,126.9162065,35.12021055,apt_master_info,POINT(126.9162065 35.12021055)
첨단자이2차,북구,,,,매매,,,,,,,126.8689936,35.21183905,apt_master_info,POINT(126.8689936 35.21183905)
대도라이프타운,남구,,,,매매,,,,,,,129.0764811,35.13874865,apt_master_info,POINT(129.0764811 35.13874865)
래미안장전,금정구,,,,매매,,,,,,,129.0870642,35.22575054,apt_master_info,POINT(129.0870642 35.22575054)
헬리오시티,송파구,,,,매매,,,,,,,127.1073266,37.4975012,apt_master_info,POINT(127.1073266 37.4975012)
삼흥리치,은평구,,,,매매,,,,,,,126.919358,37.59676703,apt_master_info,POINT(126.919358 37.59676703)
힐데스하임,서구,,,,매매,,,,,,,126.6516348,37.52849565,apt_master_info,POINT(126.6516348 37.52849565)
명지협성휴포레,강서구,,,,매매,,,,,,,129.0670846,35.19967835,apt_master_info,POINT(129.0670846 35.19967835)
새솔금호,구로구,,,,월세,,,,,,,126.8902653,37.49996821,apt_master_info,POINT(126.8902653 37.49996821)
푸른마을아파트101동~111동,강남구,,,,매매,,,,,,,126.9840187,37.49558265,apt_master_info,POINT(126.9840187 37.49558265)
월배태영데시앙,달서구,,,,매매,,,,,,,128.5206867,35.81777256,apt_master_info,POINT(128.5206867 35.81777256)
다대동롯데캐슬몰운대,사하구,,,,매매,,,,,,,128.9618303,35.0561056,apt_master_info,POINT(128.9618303 35.0561056)
신화하이빌,부산진구,,,,매매,,,,,,,129.0468155,35.17905777,apt_master_info,POINT(129.0468155 35.17905777)
지사금강펜테리움,강서구,,,,매매,,,,,,,128.8376875,35.1520399,apt_master_info,POINT(128.8376875 35.1520399)
선경,연제구,,,,매매,,,,,,,129.1103244,35.1770709,apt_master_info,POINT(129.1103244 35.1770709)
남광아파트,강서구,,,,매매,,,,,,,126.8438874,37.52958452,apt_master_info,POINT(126.8438874 37.52958452)
관악푸르지오,관악구,,,,매매,,,,,,,126.9609443,37.48749094,apt_master_info,POINT(126.9609443 37.48749094)
래미안목동아델리체(101동~118동),양천구,,,,매매,,,,,,,126.9621074,37.57139769,apt_master_info,POINT(126.9621074 37.57139769)
우성,서구,,,,매매,,,,,,,127.3641878,36.30490867,apt_master_info,POINT(127.3641878 36.30490867)
동아한가람1,송파구,,,,매매,,,,,,,127.1156407,37.53766632,apt_master_info,POINT(127.1156407 37.53766632)
래미안원베일리,서초구,,,,매매,,,,,,,126.998105,37.50687371,apt_master_info,POINT(126.998105 37.50687371)
올림픽선수기자촌1단지,송파구,,,,매매,,,,,,,127.1316203,37.5117699,apt_master_info,POINT(127.1316203 37.5117699)
태왕4하이츠,수성구,,,,매매,,,,,,,128.709826,35.83111557,apt_master_info,POINT(128.709826 35.83111557)
대우메트로디오빌,마포구,,,,매매,,,,,,,126.952771,37.54352989,apt_master_info,POINT(126.952771 37.54352989)
동삼동삼창그린타운(679-1),영도구,,,,매매,,,,,,,129.0752426,35.07121674,apt_master_info,POINT(129.0752426 35.07121674)
우방강촌마을1,동구,,,,매매,,,,,,,128.6659362,35.87621601,apt_master_info,POINT(128.6659362 35.87621601)
동래롯데캐슬퀸,동래구,,,,매매,,,,,,,127.0214563,37.57104431,apt_master_info,POINT(127.0214563 37.57104431)
무궁화,동구,,,,매매,,,,,,,127.4511887,36.33339638,apt_master_info,POINT(127.4511887 36.33339638)
정관롯데캐슬2차,기장군,,,,매매,,,,,,,127.0214563,37.57104431,apt_master_info,POINT(127.0214563 37.57104431)
리버힐,광산구,,,,매매,,,,,,,126.8063711,35.15898737,apt_master_info,POINT(126.8063711 35.15898737)
월성,달서구,,,,월세,,,,,,,128.5445542,35.82591238,apt_master_info,POINT(128.5445542 35.82591238)
국화라이프,서구,,,,매매,,,,,,,127.3978298,36.3536891,apt_master_info,POINT(127.3978298 36.3536891)
드림인시티에일린의뜰1차,북구,,,,매매,,,,,,,129.3649255,35.63627841,apt_master_info,POINT(129.3649255 35.63627841)
월배힐스테이트,달서구,,,,월세,,,,,,,128.5186909,35.81861076,apt_master_info,POINT(128.5186909 35.81861076)
솔빛마을주공2차,동구,,,,매매,,,,,,,126.637047,37.48085387,apt_master_info,POINT(126.637047 37.48085387)
보라매에스케이뷰,영등포구,,,,월세,,,,,,,126.9173223,37.50296575,apt_master_info,POINT(126.9173223 37.50296575)
검단힐스테이트6차,서구,,,,매매,,,,,,,126.671339,37.59149157,apt_master_info,POINT(126.671339 37.59149157)
대동,부평구,,,,전세,,,,,,,126.733802,37.50580065,apt_master_info,POINT(126.733802 37.50580065)
월성주공5,달서구,,,,매매,,,,,,,128.5353806,35.83299964,apt_master_info,POINT(128.5353806 35.83299964)
역촌맨션,은평구,,,,매매,,,,,,,126.9160804,37.61293124,apt_master_info,POINT(126.9160804 37.61293124)
포스코더샵,남구,,,,매매,,,,,,,126.9162065,35.12021055,apt_master_info,POINT(126.9162065 35.12021055)
초원,서구,,,,매매,,,,,,,127.3780196,36.36827109,apt_master_info,POINT(127.3780196 36.36827109)
한화꿈에그린3차,유성구,,,,매매,,,,,,,127.3912735,36.42198238,apt_master_info,POINT(127.3912735 36.42198238)
동촌강나루타운,동구,,,,매매,,,,,,,128.6431476,35.88578834,apt_master_info,POINT(128.6431476 35.88578834)
만촌삼정그린코아에듀파크,수성구,,,,매매,,,,,,,128.6526012,35.84913392,apt_master_info,POINT(128.6526012 35.84913392)
호반리젠시빌,북구,,,,매매,,,,,,,126.8820157,35.21161166,apt_master_info,POINT(126.8820157 35.21161166)
옥포대성베르힐6단지,달성군,,,,매매,,,,,,,126.9625926,37.57271035,apt_master_info,POINT(126.9625926 37.57271035)
가락타운3,사하구,,,,매매,,,,,,,128.9594608,35.10157722,apt_master_info,POINT(128.9594608 35.10157722)
삼익,용산구,,,,매매,,,,,,,126.9760686,37.51847471,apt_master_info,POINT(126.9760686 37.51847471)
광주선운지구이지더원3단지,광산구,,,,매매,,,,,,,126.9324853,37.49753123,apt_master_info,POINT(126.9324853 37.49753123)
우성,중구,,,,매매,,,,,,,127.3935459,36.30884297,apt_master_info,POINT(127.3935459 36.30884297)
